train,model,fixed_epoch,test,macro_precision,macro_recall,macro_f1,webnlg_precision,webnlg_recall,webnlg_f1
base,Gemma3-1B,-,rebel,0.1293,0.2032,0.1354,0.0932,0.1783,0.1224
base,Gemma3-1B,-,rebel-full,,,,,,
base,Gemma3-1B,-,lagrange,0.2553,0.2429,0.2210,0.2118,0.2051,0.2084
base,Gemma3-1B,-,tum_p99,0.1184,0.2701,0.1421,0.0828,0.2485,0.1242
base,Gemma3-1B,-,wikinre,0.1658,0.4314,0.2250,0.1380,0.4308,0.2091
base,Gemma3-1B,-,tum_e3,,,,,,
base,Gemma3-1B,-,nyt,,,,,,
base,Gemma3-1B,-,webnlg,,,,,,
base,Gemma3-1B,-,conll04,,,,,,
base,Qwen2.5-1.5B,-,rebel,0.2180,0.2251,0.1882,0.1695,0.1891,0.1787
base,Qwen2.5-1.5B,-,rebel-full,,,,,,
base,Qwen2.5-1.5B,-,lagrange,0.3584,0.2778,0.2866,0.3562,0.2647,0.3037
base,Qwen2.5-1.5B,-,tum_p99,0.2432,0.2936,0.2324,0.1722,0.2528,0.2049
base,Qwen2.5-1.5B,-,wikinre,0.3437,0.4357,0.3510,0.2631,0.4178,0.3229
base,Qwen2.5-1.5B,-,tum_e3,,,,,,
base,Qwen2.5-1.5B,-,nyt,,,,,,
base,Qwen2.5-1.5B,-,webnlg,,,,,,
base,Qwen2.5-1.5B,-,conll04,,,,,,
base,Llama3.2-1B,-,rebel,0.0671,0.1962,0.0790,0.0376,0.1771,0.0620
base,Llama3.2-1B,-,rebel-full,,,,,,
base,Llama3.2-1B,-,lagrange,0.1314,0.2358,0.1419,0.0826,0.2208,0.1202
base,Llama3.2-1B,-,tum_p99,0.0661,0.2365,0.0862,0.0378,0.2278,0.0649
base,Llama3.2-1B,-,wikinre,0.1433,0.4627,0.1929,0.0805,0.4463,0.1364
base,Llama3.2-1B,-,tum_e3,,,,,,
base,Llama3.2-1B,-,nyt,,,,,,
base,Llama3.2-1B,-,webnlg,,,,,,
base,Llama3.2-1B,-,conll04,,,,,,
rebel,Gemma3-1B,5,rebel,0.7169,0.6920,0.6853,0.7105,0.6792,0.6945
rebel,Gemma3-1B,5,rebel-full,0.5496,0.6560,0.5650,0.5589,0.6710,0.6098
rebel,Gemma3-1B,5,lagrange,0.5667,0.4183,0.4287,0.5036,0.3590,0.4192
rebel,Gemma3-1B,5,tum_p99,0.4877,0.4569,0.4389,0.4284,0.3955,0.4113
rebel,Gemma3-1B,5,wikinre,0.5470,0.8330,0.5948,0.2956,0.8059,0.4326
rebel,Gemma3-1B,5,tum_e3,0.3933,0.3787,0.3554,0.3694,0.3310,0.3491
rebel,Gemma3-1B,5,nyt,0.1695,0.1400,0.1442,0.1713,0.1185,0.1401
rebel,Gemma3-1B,5,webnlg,0.3554,0.2560,0.2640,0.2789,0.2271,0.2504
rebel,Gemma3-1B,5,conll04,0.3437,0.3151,0.3153,0.3446,0.2654,0.2999
rebel,Qwen2.5-1.5B,6,rebel,0.7204,0.7051,0.6961,0.7204,0.7091,0.7147
rebel,Qwen2.5-1.5B,6,rebel-full,0.5724,0.6536,0.5831,0.6002,0.6729,0.6345
rebel,Qwen2.5-1.5B,6,lagrange,0.5094,0.4160,0.4230,0.4792,0.3689,0.4169
rebel,Qwen2.5-1.5B,6,tum_p99,0.4380,0.4306,0.4059,0.3942,0.3862,0.3901
rebel,Qwen2.5-1.5B,6,wikinre,0.5059,0.7736,0.5634,0.3098,0.7540,0.4391
rebel,Qwen2.5-1.5B,6,tum_e3,0.3324,0.3232,0.3050,0.3239,0.3033,0.3133
rebel,Qwen2.5-1.5B,6,nyt,0.1849,0.2490,0.1921,0.1654,0.2355,0.1943
rebel,Qwen2.5-1.5B,6,webnlg,0.3973,0.4724,0.3999,0.3088,0.4349,0.3611
rebel,Qwen2.5-1.5B,6,conll04,0.2790,0.3047,0.2725,0.2640,0.2528,0.2583
rebel,Llama3.2-1B,4,rebel,0.7103,0.6994,0.6869,0.6878,0.6852,0.6865
rebel,Llama3.2-1B,4,rebel-full,0.5577,0.6635,0.5735,0.5564,0.6652,0.6060
rebel,Llama3.2-1B,4,lagrange,0.5118,0.4377,0.4321,0.4673,0.3858,0.4226
rebel,Llama3.2-1B,4,tum_p99,0.4744,0.4771,0.4401,0.4026,0.4269,0.4144
rebel,Llama3.2-1B,4,wikinre,0.5144,0.8587,0.5817,0.2988,0.8358,0.4402
rebel,Llama3.2-1B,4,tum_e3,0.3662,0.3814,0.3431,0.3416,0.3552,0.3483
rebel,Llama3.2-1B,4,nyt,0.1689,0.1907,0.1611,0.1456,0.1737,0.1584
rebel,Llama3.2-1B,4,webnlg,0.3200,0.3744,0.3057,0.2354,0.3517,0.2820
rebel,Llama3.2-1B,4,conll04,0.2596,0.2361,0.2388,0.2560,0.1935,0.2204
rebel_full,Gemma3-1B,5,rebel,0.6480,0.6099,0.6033,0.6440,0.6062,0.6245
rebel_full,Gemma3-1B,5,rebel-full,0.7130,0.6826,0.6806,0.7208,0.6846,0.7022
rebel_full,Gemma3-1B,5,lagrange,0.6560,0.4296,0.4840,0.5902,0.3872,0.4677
rebel_full,Gemma3-1B,5,tum_p99,0.5502,0.4705,0.4815,0.4961,0.4050,0.4459
rebel_full,Gemma3-1B,5,wikinre,0.5913,0.7887,0.6310,0.3883,0.7574,0.5134
rebel_full,Gemma3-1B,5,tum_e3,,,,,,
rebel_full,Gemma3-1B,5,nyt,,,,,,
rebel_full,Gemma3-1B,5,webnlg,,,,,,
rebel_full,Gemma3-1B,5,conll04,,,,,,
rebel_full,Qwen2.5-1.5B,6,rebel,0.6286,0.6458,0.6113,0.6372,0.6486,0.6429
rebel_full,Qwen2.5-1.5B,6,rebel-full,0.7101,0.6956,0.6879,0.7219,0.7037,0.7127
rebel_full,Qwen2.5-1.5B,6,lagrange,0.5974,0.4674,0.4970,0.5475,0.4276,0.4802
rebel_full,Qwen2.5-1.5B,6,tum_p99,0.5222,0.4875,0.4795,0.4686,0.4471,0.4576
rebel_full,Qwen2.5-1.5B,6,wikinre,0.5352,0.7765,0.5935,0.3634,0.7644,0.4926
rebel_full,Qwen2.5-1.5B,6,tum_e3,,,,,,
rebel_full,Qwen2.5-1.5B,6,nyt,,,,,,
rebel_full,Qwen2.5-1.5B,6,webnlg,,,,,,
rebel_full,Qwen2.5-1.5B,6,conll04,,,,,,
rebel_full,Llama3.2-1B,5,rebel,0.6614,0.6303,0.6190,0.6497,0.6052,0.6267
rebel_full,Llama3.2-1B,5,rebel-full,0.7117,0.6862,0.6822,0.7183,0.6828,0.7001
rebel_full,Llama3.2-1B,5,lagrange,0.6077,0.4258,0.4681,0.5508,0.3771,0.4476
rebel_full,Llama3.2-1B,5,tum_p99,0.5662,0.4943,0.5006,0.5100,0.4292,0.4661
rebel_full,Llama3.2-1B,5,wikinre,0.5654,0.8012,0.6175,0.3701,0.7713,0.5002
rebel_full,Llama3.2-1B,5,tum_e3,,,,,,
rebel_full,Llama3.2-1B,5,nyt,,,,,,
rebel_full,Llama3.2-1B,5,webnlg,,,,,,
rebel_full,Llama3.2-1B,5,conll04,,,,,,
lagrange,Gemma3-1B,6,rebel,0.3993,0.5473,0.4144,0.3387,0.4975,0.4030
lagrange,Gemma3-1B,6,rebel-full,,,,,,
lagrange,Gemma3-1B,6,lagrange,0.8631,0.8308,0.8333,0.8436,0.8130,0.8281
lagrange,Gemma3-1B,6,tum_p99,0.4851,0.6272,0.5059,0.4016,0.5721,0.4719
lagrange,Gemma3-1B,6,wikinre,0.6408,0.8701,0.7007,0.5068,0.8529,0.6358
lagrange,Gemma3-1B,6,tum_e3,0.4832,0.5726,0.4847,0.4069,0.5300,0.4604
lagrange,Gemma3-1B,6,nyt,0.0713,0.2482,0.0975,0.0593,0.2341,0.0947
lagrange,Gemma3-1B,6,webnlg,0.4615,0.3671,0.3863,0.4297,0.3428,0.3814
