train,model,fixed_epoch,test,macro_precision,macro_recall,macro_f1,webnlg_precision,webnlg_recall,webnlg_f1
base,Gemma3-1B,-,rebel,0.1293,0.2032,0.1354,0.0932,0.1783,0.1224
base,Gemma3-1B,-,rebel-full,,,,,,
base,Gemma3-1B,-,lagrange,0.2553,0.2429,0.2210,0.2118,0.2051,0.2084
base,Gemma3-1B,-,tum_p99,0.1184,0.2701,0.1421,0.0828,0.2485,0.1242
base,Gemma3-1B,-,wikinre,0.1658,0.4314,0.2250,0.1380,0.4308,0.2091
base,Gemma3-1B,-,tum_e3,,,,,,
base,Gemma3-1B,-,nyt,,,,,,
base,Gemma3-1B,-,webnlg,,,,,,
base,Gemma3-1B,-,conll04,,,,,,
base,Qwen2.5-1.5B,-,rebel,0.2180,0.2251,0.1882,0.1695,0.1891,0.1787
base,Qwen2.5-1.5B,-,rebel-full,,,,,,
base,Qwen2.5-1.5B,-,lagrange,0.3584,0.2778,0.2866,0.3562,0.2647,0.3037
base,Qwen2.5-1.5B,-,tum_p99,0.2432,0.2936,0.2324,0.1722,0.2528,0.2049
base,Qwen2.5-1.5B,-,wikinre,0.3437,0.4357,0.3510,0.2631,0.4178,0.3229
base,Qwen2.5-1.5B,-,tum_e3,,,,,,
base,Qwen2.5-1.5B,-,nyt,,,,,,
base,Qwen2.5-1.5B,-,webnlg,,,,,,
base,Qwen2.5-1.5B,-,conll04,,,,,,
base,Llama3.2-1B,-,rebel,0.0671,0.1962,0.0790,0.0376,0.1771,0.0620
base,Llama3.2-1B,-,rebel-full,,,,,,
base,Llama3.2-1B,-,lagrange,0.1314,0.2358,0.1419,0.0826,0.2208,0.1202
base,Llama3.2-1B,-,tum_p99,0.0661,0.2365,0.0862,0.0378,0.2278,0.0649
base,Llama3.2-1B,-,wikinre,0.1433,0.4627,0.1929,0.0805,0.4463,0.1364
base,Llama3.2-1B,-,tum_e3,,,,,,
base,Llama3.2-1B,-,nyt,,,,,,
base,Llama3.2-1B,-,webnlg,,,,,,
base,Llama3.2-1B,-,conll04,,,,,,
rebel,Gemma3-1B,2,rebel,0.6826,0.6636,0.6464,0.6019,0.6449,0.6226
rebel,Gemma3-1B,2,rebel-full,0.5655,0.6396,0.5627,0.4931,0.6309,0.5535
rebel,Gemma3-1B,2,lagrange,0.6092,0.4064,0.4356,0.5086,0.3498,0.4146
rebel,Gemma3-1B,2,tum_p99,0.5214,0.4847,0.4587,0.3815,0.4198,0.3997
rebel,Gemma3-1B,2,wikinre,0.5471,0.8379,0.5869,0.2371,0.8058,0.3664
rebel,Gemma3-1B,2,tum_e3,,,,,,
rebel,Gemma3-1B,2,nyt,0.1370,0.1037,0.1111,0.1407,0.0895,0.1094
rebel,Gemma3-1B,2,webnlg,0.3438,0.2929,0.2725,0.2106,0.2653,0.2348
rebel,Gemma3-1B,2,conll04,0.3075,0.2838,0.2821,0.3389,0.2401,0.2811
rebel,Qwen2.5-1.5B,2,rebel,0.6701,0.6498,0.6367,0.6333,0.6464,0.6398
rebel,Qwen2.5-1.5B,2,rebel-full,0.5892,0.6119,0.5712,0.5911,0.6177,0.6041
rebel,Qwen2.5-1.5B,2,lagrange,0.5242,0.3902,0.4154,0.4717,0.3637,0.4107
rebel,Qwen2.5-1.5B,2,tum_p99,0.4578,0.4329,0.4149,0.3727,0.3894,0.3809
rebel,Qwen2.5-1.5B,2,wikinre,0.4962,0.7108,0.5399,0.3029,0.6981,0.4225
rebel,Qwen2.5-1.5B,2,tum_e3,,,,,,
rebel,Qwen2.5-1.5B,2,nyt,0.1409,0.2143,0.1518,0.1195,0.2126,0.1530
rebel,Qwen2.5-1.5B,2,webnlg,0.3517,0.5255,0.3921,0.2587,0.5010,0.3412
rebel,Qwen2.5-1.5B,2,conll04,0.2847,0.3038,0.2772,0.2833,0.2504,0.2658
rebel,Llama3.2-1B,2,rebel,0.7121,0.6819,0.6757,0.6728,0.6564,0.6645
rebel,Llama3.2-1B,2,rebel-full,0.6052,0.6286,0.5843,0.5773,0.6120,0.5942
rebel,Llama3.2-1B,2,lagrange,0.5550,0.4036,0.4286,0.4995,0.3553,0.4152
rebel,Llama3.2-1B,2,tum_p99,0.5456,0.4844,0.4762,0.4433,0.4233,0.4331
rebel,Llama3.2-1B,2,wikinre,0.5619,0.8278,0.6144,0.3363,0.7981,0.4732
rebel,Llama3.2-1B,2,tum_e3,,,,,,
rebel,Llama3.2-1B,2,nyt,0.1661,0.2141,0.1677,0.1234,0.1929,0.1505
rebel,Llama3.2-1B,2,webnlg,0.2951,0.4166,0.3056,0.2074,0.3929,0.2715
rebel,Llama3.2-1B,2,conll04,0.3011,0.2681,0.2728,0.2889,0.2259,0.2535
rebel_full,Gemma3-1B,2,rebel,0.6268,0.5970,0.5797,0.5895,0.5778,0.5836
rebel_full,Gemma3-1B,2,rebel-full,0.6974,0.6419,0.6457,0.6787,0.6200,0.6480
rebel_full,Gemma3-1B,2,lagrange,0.6685,0.4053,0.4638,0.5934,0.3568,0.4456
rebel_full,Gemma3-1B,2,tum_p99,0.5189,0.4188,0.4349,0.4515,0.3614,0.4014
rebel_full,Gemma3-1B,2,wikinre,0.6020,0.7512,0.6231,0.3836,0.7140,0.4991
rebel_full,Gemma3-1B,2,tum_e3,,,,,,
rebel_full,Gemma3-1B,2,nyt,,,,,,
rebel_full,Gemma3-1B,2,webnlg,,,,,,
rebel_full,Gemma3-1B,2,conll04,,,,,,
rebel_full,Qwen2.5-1.5B,3,rebel,0.6156,0.6350,0.5961,0.6069,0.6367,0.6214
rebel_full,Qwen2.5-1.5B,3,rebel-full,0.7026,0.6760,0.6717,0.7116,0.6797,0.6953
rebel_full,Qwen2.5-1.5B,3,lagrange,0.5926,0.4527,0.4852,0.5328,0.4204,0.4700
rebel_full,Qwen2.5-1.5B,3,tum_p99,0.5176,0.4740,0.4691,0.4475,0.4286,0.4378
rebel_full,Qwen2.5-1.5B,3,wikinre,0.5453,0.7441,0.5905,0.3677,0.7307,0.4892
rebel_full,Qwen2.5-1.5B,3,tum_e3,,,,,,
rebel_full,Qwen2.5-1.5B,3,nyt,,,,,,
rebel_full,Qwen2.5-1.5B,3,webnlg,,,,,,
rebel_full,Qwen2.5-1.5B,3,conll04,,,,,,
rebel_full,Llama3.2-1B,2,rebel,0.6576,0.6104,0.6014,0.6121,0.5810,0.5962
rebel_full,Llama3.2-1B,2,rebel-full,0.7057,0.6379,0.6470,0.6940,0.6234,0.6568
rebel_full,Llama3.2-1B,2,lagrange,0.6592,0.3938,0.4556,0.5913,0.3435,0.4346
rebel_full,Llama3.2-1B,2,tum_p99,0.5791,0.4634,0.4869,0.5044,0.4008,0.4467
rebel_full,Llama3.2-1B,2,wikinre,0.6094,0.7996,0.6452,0.4083,0.7624,0.5318
rebel_full,Llama3.2-1B,2,tum_e3,,,,,,
rebel_full,Llama3.2-1B,2,nyt,,,,,,
rebel_full,Llama3.2-1B,2,webnlg,,,,,,
rebel_full,Llama3.2-1B,2,conll04,,,,,,
lagrange,Gemma3-1B,3,rebel,,,,,,
lagrange,Gemma3-1B,3,rebel-full,,,,,,
lagrange,Gemma3-1B,3,lagrange,0.8502,0.8031,0.8097,0.8130,0.7825,0.7974
lagrange,Gemma3-1B,3,tum_p99,0.4789,0.6081,0.4858,0.3015,0.5500,0.3894
lagrange,Gemma3-1B,3,wikinre,0.6473,0.8424,0.6935,0.4954,0.8222,0.6183
lagrange,Gemma3-1B,3,tum_e3,,,,,,
lagrange,Gemma3-1B,3,nyt,0.0747,0.2051,0.0875,0.0458,0.1893,0.0737
lagrange,Gemma3-1B,3,webnlg,0.4327,0.3867,0.3812,0.3637,0.3685,0.3661
lagrange,Gemma3-1B,3,conll04,0.2936,0.3242,0.2852,0.2550,0.2701,0.2624
lagrange,Qwen2.5-1.5B,3,rebel,,,,,,
lagrange,Qwen2.5-1.5B,3,rebel-full,,,,,,
